seed,latent_dim,fbank_size,ckpt_path,fpe,tpa,tpa_mean,tpa_std
0,4,2,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim4_fbank2_seed0.pth,0.17990428019272642,"[0.6549999713897705, 0.4699999988079071, 0.5249999761581421, 0.7699999809265137, 0.7649999856948853, 0.5849999785423279, 0.5199999809265137, 0.6600000262260437]",0.618749987334013,0.10552695163786115
1,4,2,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim4_fbank2_seed1.pth,0.17964596262094865,"[0.6349999904632568, 0.5299999713897705, 0.5799999833106995, 0.6800000071525574, 0.6899999976158142, 0.5849999785423279, 0.550000011920929, 0.6200000047683716]",0.6087499931454659,0.054241941017417826
2,4,2,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim4_fbank2_seed2.pth,0.17962247078714233,"[0.5299999713897705, 0.47999998927116394, 0.5, 0.625, 0.6150000095367432, 0.5350000262260437, 0.5, 0.5049999952316284]",0.5362499989569187,0.0510973376252604
0,4,4,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim4_fbank4_seed0.pth,0.17970052016040294,"[0.7649999856948853, 0.625, 0.6499999761581421, 0.75, 0.7799999713897705, 0.6449999809265137, 0.6000000238418579, 0.7300000190734863]",0.693124994635582,0.0659515625581778
1,4,4,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim4_fbank4_seed1.pth,0.17905744836454515,"[0.5450000166893005, 0.5400000214576721, 0.6299999952316284, 0.6200000047683716, 0.675000011920929, 0.5950000286102295, 0.550000011920929, 0.5600000023841858]",0.5893750116229057,0.045787378977444386
2,4,4,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim4_fbank4_seed2.pth,0.18048296328121993,"[0.6050000190734863, 0.550000011920929, 0.5799999833106995, 0.7099999785423279, 0.75, 0.5649999976158142, 0.5350000262260437, 0.6150000095367432]",0.6137500032782555,0.07218681602959218
0,4,8,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim4_fbank8_seed0.pth,0.1799925383200688,"[0.6150000095367432, 0.574999988079071, 0.6150000095367432, 0.6949999928474426, 0.6899999976158142, 0.6000000238418579, 0.5249999761581421, 0.6349999904632568]",0.6187499985098839,0.052722745015617765
1,4,8,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim4_fbank8_seed1.pth,0.17992723502983857,"[0.5649999976158142, 0.5, 0.5149999856948853, 0.6299999952316284, 0.6050000190734863, 0.5, 0.48500001430511475, 0.6050000190734863]",0.5506250038743019,0.05376090292286429
2,4,8,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim4_fbank8_seed2.pth,0.18068532107119364,"[0.6200000047683716, 0.6050000190734863, 0.5699999928474426, 0.699999988079071, 0.7049999833106995, 0.6000000238418579, 0.5350000262260437, 0.5699999928474426]",0.6131250038743019,0.05711486904459585
0,4,16,results/tversky_sirl_2_gridrobot/tversky_sirl_2_dim4_fbank16_seed0.pth,0.17978193200168766,"[0.5550000071525574, 0.5849999785423279, 0.574999988079071, 0.5350000262260437, 0.5799999833106995, 0.5899999737739563, 0.5600000023841858, 0.5450000166893005]",0.5656249970197678,0.018614073013014
